,title,region,region_name,region_parent_name,price,is_boost,property_size,bedrooms,bathrooms,furnishing
571,4bdrm Duplex in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,240000000.0,diamond,1200.0,4.0,5.0,Semi-Furnished
572,"3bdrm Bungalow in Adron London Park, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,29000000.0,enterprise,540.0,3.0,4.0,Unfurnished
573,1bdrm Block of Flats in Katampe for sale,"Abuja (Fct), Katampe",Katampe,Abuja (Fct),80000000.0,False,500.0,1.0,1.0,Semi-Furnished
574,"Furnished 7bdrm Duplex in Amen Estate, Eleko for sale","Ibeju, Eleko",Eleko,Ibeju,600000000.0,enterprise,1715.0,7.0,7.0,Furnished
575,"4bdrm Duplex in Peace Garden Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Ajah,380000000.0,enterprise,450.0,4.0,4.0,Semi-Furnished
576,12bdrm Apartment in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,200000000.0,diamond,3000.0,12.0,10.0,Unfurnished
577,5bdrm Duplex in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,700000000.0,vip_gold,123.0,5.0,5.0,Unfurnished
578,"3bdrm Bungalow in Eleyele, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,60000000.0,diamond,600.0,3.0,4.0,Unfurnished
579,"3bdrm Apartment in Unity Estate Phase 3, Ado-Odo/Ota for sale","Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,15000000.0,False,200.0,3.0,2.0,Unfurnished
580,1bdrm House in Bwari for sale,"Abuja (Fct), Bwari",Bwari,Abuja (Fct),370000000.0,diamond,2500.0,1.0,1.0,Semi-Furnished
581,2bdrm Apartment in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,70000000.0,enterprise,200.0,2.0,3.0,Semi-Furnished
582,4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,220000000.0,enterprise,500.0,4.0,4.0,Unfurnished
583,5bdrm Duplex in Omole Phase 1 for sale,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,550000000.0,diamond,300.0,5.0,6.0,Semi-Furnished
584,Furnished 5bdrm Duplex in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,190000000.0,enterprise,400.0,5.0,5.0,Furnished
585,"3bdrm Duplex in Cyberville Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,200000000.0,enterprise,200.0,3.0,3.0,Semi-Furnished
586,Furnished 4bdrm Duplex in Ibadan for sale,"Oyo State, Ibadan",Ibadan,Oyo State,150000000.0,enterprise,600.0,4.0,5.0,Furnished
587,"3bdrm Bungalow in Gloverwood Bungalows, Ologuneru for sale","Ibadan, Ologuneru",Ologuneru,Ibadan,60900000.0,enterprise,300.0,3.0,4.0,Semi-Furnished
588,"5bdrm Duplex in Ikate, Ilasan for sale","Lekki, Ilasan",Ilasan,Lekki,300000000.0,enterprise,600.0,5.0,5.0,Semi-Furnished
589,3bdrm Apartment in Abijo for sale,"Ibeju, Abijo",Abijo,Ibeju,140000000.0,enterprise,1200.0,3.0,3.0,Unfurnished
590,12bdrm House in Eleko for sale,"Ibeju, Eleko",Eleko,Ibeju,400000000.0,premium,500.0,12.0,12.0,Semi-Furnished
591,4bdrm Duplex in Ikota Gra Estate for sale,"Lekki, Ikota",Ikota,Lekki,95000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
592,3bdrm Duplex in Guzape Main for sale,"Abuja (Fct), Guzape District",Guzape District,Abuja (Fct),300000000.0,diamond,1000.0,3.0,3.0,Unfurnished
593,4bdrm Mansion in Apo Resettlement for sale,"Apo District, Apo Resettlement",Apo Resettlement,Apo District,95000000.0,vip_gold,300.0,4.0,5.0,Semi-Furnished
594,3bdrm Block of Flats in Katampe (Main) for sale,"Katampe, Katampe (Main)",Katampe (Main),Katampe,165000000.0,diamond,500.0,3.0,3.0,Semi-Furnished
595,5bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,370000000.0,enterprise,200.0,5.0,6.0,Semi-Furnished
596,2bdrm Apartment in Lekki Phase One for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,300000000.0,enterprise,500.0,2.0,2.0,Unfurnished
597,"5bdrm Duplex in Estate, Sabon Lugbe for sale","Lugbe District, Sabon Lugbe",Sabon Lugbe,Lugbe District,140000000.0,diamond,500.0,5.0,5.0,Unfurnished
598,5bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,250000000.0,False,2000.0,5.0,6.0,Unfurnished
599,"4bdrm Duplex in Monastery Road, Lekki for sale","Lagos State, Lekki",Lekki,Lagos State,140000000.0,enterprise,300.0,4.0,4.0,Semi-Furnished
600,"Furnished 4bdrm Duplex in Ogunfayo, Awoyaya for sale","Ibeju, Awoyaya",Awoyaya,Ibeju,85000000.0,enterprise,300.0,4.0,4.0,Furnished
601,"4bdrm Duplex in Non, Kubwa for sale","Abuja (Fct), Kubwa",Kubwa,Abuja (Fct),150000000.0,diamond,500.0,4.0,4.0,Semi-Furnished
602,"Furnished 2bdrm Duplex in Carlton Gate Estate,, Lagelu for sale","Oyo State, Lagelu",Lagelu,Oyo State,100000000.0,False,500.0,2.0,2.0,Furnished
603,"4bdrm Duplex in Thomas Estate, Ajah for sale","Lagos State, Ajah",Ajah,Lagos State,165000000.0,enterprise,400.0,4.0,4.0,Semi-Furnished
605,8bdrm Duplex in Idu for sale,"Abuja (Fct), Idu Industrial",Idu Industrial,Abuja (Fct),300000000.0,diamond,900.0,8.0,10.0,Semi-Furnished
606,3bdrm Apartment in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,85000000.0,enterprise,200.0,3.0,3.0,Semi-Furnished
607,4bdrm Duplex in Abraham Adesanya for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,170000000.0,enterprise,350.0,4.0,4.0,Unfurnished
608,"2bdrm Bungalow in Elanorris Gloverwood, Ologuneru for sale","Ibadan, Ologuneru",Ologuneru,Ibadan,50900000.0,enterprise,270.0,2.0,3.0,Semi-Furnished
